feature_id,parent_feature_id,dimension_id,phase_id,scope,name,description,detailed_description,dev_prompt
EXP_01,,DIM_EXP,PH_2_DESIGN,GLOBAL,Essentials List,Dynamic Procurement Optimizer,"Curated procurement list for high-conversion.","1. Pedagogical Objective: Invest in high-impact amenities. Teaches 'ADR Impact' of items. 2. Behavior Matrix: TIER_0 (Beginner): Static PDF list. TIER_1 (Bronze): Interactive checklist with basic budget tracking. TIER_2 (Silver): Portfolio-wide inventory standards and room templates. TIER_3 (Gold): Live procurement engine with public price scraping and ROI impact scoring. 3. User Journey & UI: Input: Size + Level. Logic: Price-to-Value score. Output: Shopping cart with links. Coach: 'Coffee Rule'. 4. Business Logic: RG-01: Sync to FIN_02. RG-02: TIER_3 for price scraping.","Functional Specification: Procurement management. TIER_1: CRUD for item lists with 'Purchased' status. TIER_2: Create 'Standardized Room Templates' (e.g., 'Master Bedroom Silver Standard') that can be cloned across multiple properties. TIER_3: Build a 'Price Scraper' that periodically fetches prices for common items from public retail websites. Use this to flag 'Deals' to the user. Integrate with FIN_01 to show how much each item (e.g., a smart lock) adds to the property's value based on public amenity-value studies."
EXP_02,,DIM_EXP,PH_2_DESIGN,GLOBAL,Inventory Generator,Computer Vision Inventory Agent,"Digital inventory for insurance and asset tracking.","1. Pedagogical Objective: Protect your assets. Teaches evidence-based reporting. 2. Behavior Matrix: TIER_0 (Beginner): Manual text table. TIER_1 (Bronze): Mobile-first photo inventory (10 items max). TIER_2 (Silver): Unlimited inventory with serial number logging and warranty alerts. TIER_3 (Gold): AI Vision Agent identifying items from a single 360° photo. 3. User Journey & UI: Input: Photo upload. Logic: Image label detection. Output: Digital Asset Register. Coach: 'Check-in Proof'. 4. Business Logic: RG-01: Detect safety equipment. RG-02: TIER_3 for AI detection.","Functional Specification: Asset tracking. TIER_1: Basic image upload and manual tagging. TIER_2: Implement an 'Expiration Engine' for warranties and life-expectancy (e.g., replace mattress in 5y). TIER_3: Integrate an open-source Computer Vision model (like YOLOv8). When a user uploads a room photo, the system must auto-tag visible items (TV, Bed, AC) and check if they match the 'Essentials List' (EXP_01). If an item is missing, flag it as 'Non-Compliant with Standard'."
OPS_01,,DIM_OPS,PH_2_DESIGN,GLOBAL,Construction Schedule,Critical Path Operations Engine,"A timeline tool for property readiness.","1. Pedagogical Objective: Operations are a sequence. Teaches 'Dependency Management'. 2. Behavior Matrix: TIER_0 (Beginner): Opening countdown. TIER_1 (Bronze): Single-project task list. TIER_2 (Silver): Portfolio-wide timeline and team assignment. TIER_3 (Gold): Self-healing Gantt Engine with dependency logic and delay alerts. 3. User Journey & UI: Input: Task list + Relationships. Logic: Critical Path Calculation. Output: Interactive Gantt chart. Coach: 'The Slack Factor'. 4. Business Logic: RG-01: Auto-reschedule on delay. RG-02: TIER_3 for Gantt dependency logic.","Functional Specification: Timeline engine. TIER_1: Simple list of tasks with Start/End dates. TIER_2: Implement 'Resource Management'—assign different users (Contractors) to tasks and see their availability across multiple properties. TIER_3: Architect a 'Critical Path Engine'. If a 'Plumbing' task is marked as 'Delayed', the system must automatically shift all 'Blocked' tasks (Painting, Tiling) by the same duration and send an automated notification to the respective contractors via the system."
MKT_00,,DIM_MKT,PH_3_LAUNCH,GLOBAL,Listing Optimization,AI-Driven Conversion Auditor,"Auditor for listing visibility.","1. Pedagogical Objective: Perception is reality. Teaches CTR optimization. 2. Behavior Matrix: TIER_0 (Beginner): 10 'Pro-tips'. TIER_1 (Bronze): Manual audit checklist. TIER_2 (Silver): Competitor amenities gap analysis. TIER_3 (Gold): AI Auditor benchmarking against 'Top 10%' local public listing data. 3. User Journey & UI: Input: Listing URL. Logic: Multi-factor scoring. Output: Performance Score (0-100). Coach: 'Hero Photo' tooltip. 4. Business Logic: RG-01: Min score < 60 warning. RG-02: TIER_3 for competitor scraping.","Functional Specification: Listing auditor. TIER_1: Static rule engine checking for photo count (>15), title length, and amenity presence. TIER_2: Implement an 'Amenities Gap' tool. Compare the user's manual entry against a list of 'Top Demand' amenities for that city (e.g., 'Pool' in Marbella). TIER_3: Build a 'Comp-Set Scraper' using public data (Inside Airbnb). Analyze the top 10% properties in the same zip code and provide a 'Competitive Checklist' of what the user is missing (e.g., 'Competitors have better lighting in bathroom photos')."
MKT_01,MKT_00,DIM_MKT,PH_3_LAUNCH,GLOBAL,Photo Guide,AI Image Enhancement & Staging Suite,"Pro-level photography guidance with AI enhancement.","1. Pedagogical Objective: Sell the dream. High visuals increase ADR. Teaches framing and lighting. 2. Behavior Matrix: TIER_0 (Beginner): Framing guides. TIER_1 (Bronze): Mobile camera overlay (Rule of Thirds). TIER_2 (Silver): 'Seasonality Staging' advice and basic filter suite. TIER_3 (Gold): AI Enhancement Engine (HDR/Geometry correction) using open-source models. 3. User Journey & UI: Input: Raw photo. Logic: AI HDR + Lens correction. Output: Before/After view. Coach: 'Golden Hour' tip. 4. Business Logic: RG-01: Resolution check. RG-02: TIER_3 for AI enhancement.","Functional Specification: Image processing service. TIER_1: Visual overlays on the mobile capture UI (Grid, Level). TIER_2: Implement a 'Photo Management' system that suggests which photos to use for specific seasons (e.g., 'Highlight the fireplace in winter'). TIER_3: Integrate open-source AI image processing (like OpenCV for vertical alignment or stable-diffusion-based inpainting for decluttering). The system should automatically straighten vertical lines and increase dynamic range (HDR) for indoor shots to make them pop."
MKT_02,MKT_00,DIM_MKT,PH_3_LAUNCH,GLOBAL,AI Listing Writer,Semantic SEO Content Generator,"Copywriting engine for high-conversion.","1. Pedagogical Objective: Copy that converts. Teaches 'Persona-Based Marketing'. 2. Behavior Matrix: TIER_0 (Beginner): Text templates. TIER_1 (Bronze): 'Mad-libs' style generator. TIER_2 (Silver): Semantic SEO Keyword injection and platform-specific formatting. TIER_3 (Gold): Persona-Based LLM Generator (Luxury/Business/Family) with 10+ languages. 3. User Journey & UI: Input: Key features. Logic: Semantic mapping. Output: platform titles. Coach: 'The Hook' tip. 4. Business Logic: RG-01: Multi-language TIER_3. RG-02: Mandatory disclosures.","Functional Specification: Copywriting agent. TIER_1: Simple concatenation engine based on user-selected tags (e.g., 'Near Beach' + 'Quiet'). TIER_2: Implement an 'SEO Keyword Injector'—the system suggests high-volume keywords for the city (from public search data) to be included in the description. TIER_3: Integrate an open-source LLM. Functionally, allow the user to select a 'Target Persona' (e.g., 'Digital Nomad'). The AI then rewrites the description to emphasize WiFi, desk space, and coffee shops, while optimizing the semantic structure for the Airbnb search algorithm."
LEG_03,,DIM_LEGAL,PH_3_LAUNCH,LOC_PROPERTY,Cerfa Generator,French Administrative Automation Bot,"Automated filler for French municipal declarations.","1. Pedagogical Objective: Compliance is vital. Teaches 'Residence Principale' vs 'Secondaire'. 2. Behavior Matrix: TIER_0 (Beginner): Link to portal. TIER_1 (Bronze): Interactive form generating PDF Cerfa. TIER_2 (Silver): Multi-property declaration management and status tracking. TIER_3 (Gold): Digital Admin Proxy with direct portal submission. 3. User Journey & UI: Input: Host + Property data. Logic: Mappings to Cerfa 14004*04. Output: Signed PDF. Coach: Registration number explanation. 4. Business Logic: RG-01: France only. RG-02: TIER_3 for portal submission.","Functional Specification: PDF Mapping engine. TIER_1: Map user profile fields to official Cerfa PDF form coordinates. TIER_2: Build a 'Declaration Dashboard'—track which properties have been declared, upload the 'Submission Receipt', and log the issued registration number. TIER_3: For cities with a 'Téléservice', implement a Playwright/Puppeteer script to automate the data entry on the city's official registration portal. The system must capture the generated 'Numéro d'enregistrement' and push it to the MKT dimension."
LEG_04,,DIM_LEGAL,PH_3_LAUNCH,LOC_PROPERTY,VUT License Assistant,Spanish Licensing Expert System,"Guide for Spanish VUT licenses.","1. Pedagogical Objective: Due diligence. Teaches Building Statute checks. 2. Behavior Matrix: TIER_0 (Beginner): Regional guide. TIER_1 (Bronze): Interactive requirement checklist. TIER_2 (Silver): Province-specific document manager and fee calculator. TIER_3 (Gold): 'Statute Analyzer' with AI-based prohibition detection in PDF docs. 3. User Journey & UI: Input: Province + Statutes PDF. Logic: Keyword extraction. Output: Licensability Report. Coach: Moratoriums explanation. 4. Business Logic: RG-01: Spain only. RG-02: TIER_3 for statute analysis.","Functional Specification: Legal document analyzer. TIER_1: Conditional requirement tree based on the 17 Spanish regions (CCAA). TIER_2: Implement a 'Fee Calculator'—calculate the exact tax (Tasa) due for the license application based on public regional tables. TIER_3: Build a 'Statute Scanner'—users upload their Building Statutes (Estatutos de la Comunidad). Use an open-source LLM to scan for clauses like 'prohibición de uso turístico'. If found, flag the property as 'High Risk' before the user pays the application fee."
LEG_05,,DIM_LEGAL,PH_3_LAUNCH,LOC_PROPERTY,Impressum Generator,German Compliance Hosting Service,"Generates and hosts German legal notices.","1. Pedagogical Objective: Professional identity. Teaches commercial transparency (§5 TMG). 2. Behavior Matrix: TIER_0 (Beginner): Impressum template. TIER_1 (Bronze): Dynamic generator with hosted URL. TIER_2 (Silver): Adaptive Impressum (Multi-host/Company support) and QR Code generator. TIER_3 (Gold): Automated legal update monitoring (EU/TMG updates). 3. User Journey & UI: Input: VAT + Contact data. Logic: Legal text generation. Output: Permalink URL. Coach: Why physical address is required. 4. Business Logic: RG-01: Germany only. RG-02: TIER_3 for legal triggers.","Functional Specification: Static site generator + Hosting. TIER_1: Generate a single HTML page with the legally required text and provide a persistent URL. TIER_2: Implement 'QR Code' generation—the user can download a QR code linking to their hosted Impressum to put on their physical property signs. TIER_3: Implement a 'Regulatory Trigger' service—monitor public German legislative feeds. If §5 TMG changes, the system must automatically update the 'Legal Engine' and notify the user that their hosted Impressum has been refreshed to remain compliant."
PRI_01,,DIM_PRICING,PH_3_LAUNCH,GLOBAL,Yield Setup,Market-Adaptive Pricing Configurator,"Initial pricing based on cost-plus and market data.","1. Pedagogical Objective: Pricing as a strategy. Teaches the 'New Listing Boost'. 2. Behavior Matrix: TIER_0 (Beginner): Base price calculator. TIER_1 (Bronze): Seasonal price grid. TIER_2 (Silver): Comp-set benchmarking and 'Price-per-Occupancy' targets. TIER_3 (Gold): Demand-Adaptive Setup with 'Launch Discount' strategy and live neighborhood indices. 3. User Journey & UI: Input: Costs + Desired profit. Logic: Cost-plus + Market delta. Output: 12-month calendar. Coach: 15% discount for first 3 reviews. 4. Business Logic: RG-01: Min price guardrail. RG-02: TIER_3 for market indices.","Functional Specification: Pricing configurator. TIER_1: Create a 12-month grid with two states: 'Standard' and 'High Season'. TIER_2: Implement 'Occupancy-Based Rules'—if the user's manual calendar is >80% full for next month, suggest a 10% price increase. TIER_3: Integrate with public neighborhood data (e.g., Inside Airbnb). Calculate a 'Market Percentile' for the user's property. If they are in the 20th percentile (cheapest), suggest a ramp-up strategy to reach the 50th percentile as their review count grows."
OPS_02,,DIM_OPS,PH_4_OPS,GLOBAL,iCal Sync,Redundant Calendar Sync Engine,"Basic calendar sync to prevent double bookings.","1. Pedagogical Objective: Trust is built on reliability. Teaches foundations of distribution. 2. Behavior Matrix: TIER_0 (Beginner): 1-way export. TIER_1 (Bronze): 2-way sync (1-hour refresh). TIER_2 (Silver): High-Frequency Sync (15m) and conflict resolution UI. TIER_3 (Gold): Near-real-time Sync (5m) with automated collision-detection and Push alerts. 3. User Journey & UI: Input: iCal URLs. Logic: Chronological merge. Output: Unified calendar. Coach: API vs iCal tip. 4. Business Logic: RG-01: Sync failure alert. RG-02: TIER_3 for high frequency.","Functional Specification: Calendar sync service. TIER_1: Cron job every 60 minutes to pull and push .ics files. TIER_2: Implement a 'Collision UI'—if an iCal import overlaps with an existing booking, highlight the conflict in red and prompt the user for a manual override. TIER_3: Optimize the sync frequency to 5 minutes. Implement 'Intelligent Polling'—if a 'Booking Request' email is detected in the connected inbox (optional), trigger an immediate out-of-band sync for that property to block dates before the iCal refresh."
OPS_03,,DIM_OPS,PH_4_OPS,GLOBAL,Channel Manager,API-Direct Distribution Engine,"Centralized hub for property distribution.","1. Pedagogical Objective: Scale through automation. Teaches 'Single Source of Truth'. 2. Behavior Matrix: TIER_0 (Beginner): iCal Basic. TIER_1 (Bronze): API Connection for 1 platform. TIER_2 (Silver): API Connection for 3 platforms + Basic content/photo sync. TIER_3 (Gold): Unlimited API Distribution with advanced pricing rules and Instant Sync. 3. User Journey & UI: Input: API Keys. Logic: Direct API push/pull. Output: Sync Status Dashboard. Coach: Why API > iCal. 4. Business Logic: RG-01: TIER_2 for multi-channel. RG-02: 'Global Markup' logic.","Functional Specification: Distribution engine. TIER_1: Implement OAuth flows for a single OTA (e.g., Airbnb). TIER_2: Support up to 3 OTAs and implement 'Price Markups'—the user sets a base price, and the system adds X% for Booking.com and Y% for Vrbo to cover their respective commissions. TIER_3: Enable 'Content Sync'—functionally allow the user to manage photos and descriptions once in the SaaS and push them to all API-connected channels. Implement 'Atomic Updates' to prevent overbooking across 50+ channels."
OPS_03_AIRBNB,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Airbnb Connector,Official Airbnb API Agent,"Real-time direct connection with Airbnb.","1. Pedagogical Objective: Channel-specific mastery. Teaches first-response ranking. 2. Behavior Matrix: TIER_1 (Bronze): Availability sync. TIER_2 (Silver): Guest Messaging and automated 'Saved Replies'. TIER_3 (Gold): Full Content Parity and AI-automated review response. 3. User Journey & UI: Input: Airbnb login. Logic: Content mapping. Output: Sync status. Coach: Response time importance. 4. Business Logic: RG-01: 90-day re-auth. RG-02: TIER_2 for messaging.","Functional Specification: Airbnb API integration. TIER_1: Basic availability and price push. TIER_2: Integrate the 'Messaging API'—build a 'Unified Inbox' where the host can reply to Airbnb threads. Implement 'Triggers'—e.g., automatically send the 'Check-in Instructions' message 24h before arrival. TIER_3: Enable 'Full Content Management'—users can edit 'House Rules' and 'Check-out instructions' in the SaaS and sync them to Airbnb. Use an open-source LLM to suggest responses to guest reviews based on the guest's rating."
OPS_03_BOOKING,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Booking.com Connector,Booking.com XML Specialist,"Advanced XML connection for professional management.","1. Pedagogical Objective: Professional rigor. Teaches 'Rate Plans' and payment security. 2. Behavior Matrix: TIER_1 (Bronze): Availability sync. TIER_2 (Silver): Management of 'Flexible' vs 'Non-refundable' rates. TIER_3 (Gold): Automated Promotion management and VCC processing. 3. User Journey & UI: Input: Booking ID. Logic: Rate Plan mapping. Output: Policy dashboard. Coach: Non-refundable rates tip. 4. Business Logic: RG-01: TIER_3 for VCC capture.","Functional Specification: Booking.com XML integration. TIER_1: Push availability and base rate. TIER_2: Implement 'Rate Plan Overrides'—allow the user to set a specific price for 'Non-Refundable' bookings that differs from the 'Flexible' rate. TIER_3: Build a 'Promotion Engine'—the user can launch 'Black Friday' or 'Last Minute' deals directly from the SaaS. Implement 'Virtual Credit Card' (VCC) handling—functionally capture the card data and process it through a connected Stripe account automatically on the day the VCC becomes active."
OPS_03_VRBO,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Vrbo Connector,Vrbo Multi-Unit Distribution Agent,"Direct connection for family-oriented bookings.","1. Pedagogical Objective: Niche targeting. Teaches content adaptation for families. 2. Behavior Matrix: TIER_1 (Bronze): Basic sync. TIER_2 (Silver): Multi-unit grouping and family-amenity optimization. TIER_3 (Gold): Automated cross-platform content sync and guest vetting logic. 3. User Journey & UI: Input: Vrbo account. Logic: Content optimization. Output: Listing health check. Coach: Kitchen photos tip. 4. Business Logic: RG-01: Age limit sync.","Functional Specification: Vrbo API integration. TIER_1: Push availability. TIER_2: Implement 'Family Filter Optimization'—the system scans the property amenities and automatically highlights 'Crib', 'High Chair', and 'Safety Gates' for the Vrbo listing to improve ranking in family searches. TIER_3: Enable 'Cross-Channel Content Bridge'—if a user updates the 'Property Description' for Airbnb, the system suggests a 'Vrbo-optimized' version that focuses more on family activities and house-safety, ready to be pushed to Vrbo with one click."
